  forking is not supported on this platform

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-09-25 16:43:16 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 1.25ms
  2026-09-25 16:43:16 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 2.37ms
  2026-09-25 16:43:16 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 1.13ms
  2026-09-25 16:43:16 /css/sb-admin-2.min.css .............................................................. ~ 0.20ms
  2026-09-25 16:43:16 /css/style.css ....................................................................... ~ 1.46ms
  2026-09-25 16:43:16 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 0.18ms
  2026-09-25 16:43:16 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 0.19ms
  2026-09-25 16:43:16 /user_icon.png ....................................................................... ~ 0.20ms
  2026-09-25 16:43:16 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 1.57ms
  2026-09-25 16:43:16 /js/sweetalert.min.js ................................................................ ~ 0.19ms
  2026-09-25 16:43:16 /vendor/jquery-easing/jquery.easing.min.js ........................................... ~ 0.18ms
  2026-09-25 16:43:16 /js/sb-admin-2.min.js ................................................................ ~ 0.26ms
  2026-09-25 16:43:16 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 1.57ms
  2026-09-25 16:43:16 /hp-logo.png ......................................................................... ~ 2.64ms
  2026-09-25 16:43:16 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 0.19ms
  2026-09-25 16:43:16 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 0.18ms
  2026-09-25 16:43:16 /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 ................................. ~ 0.19ms
  2026-09-25 16:43:17 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 0.93ms
  2026-09-25 16:43:17 /vendor/jquery-easing/jquery.easing.min.js ........................................... ~ 2.06ms
  2026-09-25 16:43:17 /js/sb-admin-2.min.js ................................................................ ~ 1.33ms
  2026-09-25 16:43:17 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 2.59ms
  2026-09-25 16:43:48 .................................................................................... ~ 500.54ms
  2026-09-25 16:43:48 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 0.23ms
  2026-09-25 16:43:48 /css/sb-admin-2.min.css .............................................................. ~ 0.34ms
  2026-09-25 16:43:48 /css/style.css ....................................................................... ~ 1.98ms
  2026-09-25 16:43:48 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 3.71ms
  2026-09-25 16:43:48 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 5.08ms
  2026-09-25 16:43:48 /js/sweetalert.min.js ................................................................ ~ 4.61ms
  2026-09-25 16:43:48 /css/sweetalert.css .................................................................. ~ 6.13ms
  2026-09-25 16:43:48 /css/shared/shell-theme.css?v=1790185700 ............................................. ~ 5.88ms
  2026-09-25 16:43:48 /css/admin/admin-experience.css?v=1790186021 ......................................... ~ 0.41ms
  2026-09-25 16:43:48 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 1.63ms
  2026-09-25 16:43:48 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 3.02ms
  2026-09-25 16:43:48 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 0.21ms
  2026-09-25 16:43:48 /css/sb-admin-2.min.css .............................................................. ~ 1.33ms
  2026-09-25 16:43:48 /css/style.css ....................................................................... ~ 0.20ms
  2026-09-25 16:43:48 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 1.57ms
  2026-09-25 16:43:48 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 2.85ms
  2026-09-25 16:43:48 /user_icon.png ....................................................................... ~ 0.21ms
  2026-09-25 16:43:48 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 1.91ms
  2026-09-25 16:43:48 /js/sweetalert.min.js ................................................................ ~ 0.37ms
  2026-09-25 16:43:48 /vendor/jquery-easing/jquery.easing.min.js ........................................... ~ 0.34ms
  2026-09-25 16:43:48 /js/sb-admin-2.min.js ................................................................ ~ 1.46ms
  2026-09-25 16:43:48 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 2.81ms
  2026-09-25 16:43:48 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 2.62ms
  2026-09-25 16:43:48 /hp-logo.png ......................................................................... ~ 3.72ms
  2026-09-25 16:43:49 /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 ................................. ~ 0.20ms
  2026-09-25 16:43:49 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js ......................... ~ 11.04ms
  2026-09-25 16:43:50 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 0.21ms
  2026-09-25 16:43:50 /vendor/jquery-easing/jquery.easing.min.js ........................................... ~ 1.23ms
  2026-09-25 16:43:50 /js/sb-admin-2.min.js ................................................................ ~ 2.30ms
  2026-09-25 16:43:50 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 2.47ms
  2026-09-25 16:44:03 ...................................................................................... ~ 0.98ms
  2026-09-25 16:44:03 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 2.41ms
  2026-09-25 16:44:03 /css/sb-admin-2.min.css .............................................................. ~ 0.26ms
  2026-09-25 16:44:03 /css/style.css ....................................................................... ~ 1.67ms
  2026-09-25 16:44:03 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 3.18ms
  2026-09-25 16:44:03 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 4.23ms
  2026-09-25 16:44:03 /js/sweetalert.min.js ................................................................ ~ 5.35ms
  2026-09-25 16:44:03 /css/sweetalert.css .................................................................. ~ 5.30ms
  2026-09-25 16:44:03 /css/shared/shell-theme.css?v=1790185700 ............................................. ~ 5.40ms
  2026-09-25 16:44:03 /css/admin/admin-experience.css?v=1790186021 ......................................... ~ 0.27ms
  2026-09-25 16:44:03 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 1.43ms
  2026-09-25 16:44:03 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 2.64ms
  2026-09-25 16:44:03 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 3.74ms
  2026-09-25 16:44:03 /css/sb-admin-2.min.css .............................................................. ~ 4.86ms
  2026-09-25 16:44:03 /css/style.css ....................................................................... ~ 6.04ms
  2026-09-25 16:44:03 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 0.20ms
  2026-09-25 16:44:03 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 1.23ms
  2026-09-25 16:44:03 /user_icon.png ....................................................................... ~ 0.19ms
  2026-09-25 16:44:03 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 0.19ms
  2026-09-25 16:44:03 /js/sweetalert.min.js ................................................................ ~ 0.23ms
  2026-09-25 16:44:03 /vendor/jquery-easing/jquery.easing.min.js ........................................... ~ 1.57ms
  2026-09-25 16:44:03 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 2.73ms
  2026-09-25 16:44:03 /js/sb-admin-2.min.js ................................................................ ~ 2.52ms
  2026-09-25 16:44:03 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 3.82ms
  2026-09-25 16:44:03 /hp-logo.png ......................................................................... ~ 3.81ms
  2026-09-25 16:44:03 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 5.04ms
  2026-09-25 16:44:03 /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 ................................. ~ 0.40ms
  2026-09-25 16:44:04 /vendor/bootstrap/js/bootstrap.bundle.min.js ........................................ ~ 11.04ms
  2026-09-25 16:44:04 /vendor/jquery-easing/jquery.easing.min.js .......................................... ~ 12.69ms
  2026-09-25 16:44:04 /js/sb-admin-2.min.js ................................................................ ~ 1.37ms
  2026-09-25 16:44:04 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 2.64ms
  2026-09-25 16:44:05 .................................................................................... ~ 505.44ms
  2026-09-25 16:44:05 /vendor/fontawesome-free/css/all.min.css ........................................... ~ 514.86ms
  2026-09-25 16:44:05 /css/style.css ....................................................................... ~ 1.82ms
  2026-09-25 16:44:05 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 1.63ms
  2026-09-25 16:44:05 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 2.63ms
  2026-09-25 16:44:05 /css/sweetalert.css .................................................................. ~ 3.66ms
  2026-09-25 16:44:05 /css/shared/shell-theme.css?v=1790185700 ............................................. ~ 4.98ms
  2026-09-25 16:44:05 /css/admin/admin-experience.css?v=1790186021 ......................................... ~ 4.66ms
  2026-09-25 16:44:05 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 4.85ms
  2026-09-25 16:44:05 /js/sweetalert.min.js ................................................................ ~ 4.89ms
  2026-09-25 16:44:05 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 0.25ms
  2026-09-25 16:44:05 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 1.33ms
  2026-09-25 16:44:05 /css/sb-admin-2.min.css .............................................................. ~ 2.22ms
  2026-09-25 16:44:05 /css/sb-admin-2.min.css ............................................................. ~ 14.90ms
  2026-09-25 16:44:05 /css/style.css ....................................................................... ~ 1.57ms
  2026-09-25 16:44:05 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 3.25ms
  2026-09-25 16:44:05 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 0.26ms
  2026-09-25 16:44:05 /user_icon.png ....................................................................... ~ 0.23ms
  2026-09-25 16:44:05 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 1.83ms
  2026-09-25 16:44:05 /vendor/jquery-easing/jquery.easing.min.js ........................................... ~ 0.23ms
  2026-09-25 16:44:05 /js/sb-admin-2.min.js ................................................................ ~ 1.48ms
  2026-09-25 16:44:05 /vendor/datatables/jquery.dataTables.min.js .......................................... ~ 2.78ms
  2026-09-25 16:44:05 /vendor/datatables/dataTables.bootstrap4.min.js ...................................... ~ 3.95ms
  2026-09-25 16:44:05 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 3.99ms
  2026-09-25 16:44:05 /hp-logo.png ......................................................................... ~ 5.17ms
  2026-09-25 16:44:05 /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 ................................. ~ 0.18ms
  2026-09-25 16:44:05 ...................................................................................... ~ 0.17ms
  2026-09-25 16:44:06 /js/sweetalert.min.js ................................................................ ~ 0.31ms
  2026-09-25 16:44:06 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 1.59ms
  2026-09-25 16:44:06 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 2.39ms
  2026-09-25 16:44:06 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 3.40ms
  2026-09-25 16:44:06 /vendor/jquery-easing/jquery.easing.min.js ........................................... ~ 4.37ms
  2026-09-25 16:44:06 /js/sb-admin-2.min.js ................................................................ ~ 5.34ms
  2026-09-25 16:44:06 /vendor/datatables/jquery.dataTables.min.js .......................................... ~ 5.23ms
  2026-09-25 16:44:06 /vendor/datatables/dataTables.bootstrap4.min.js ...................................... ~ 3.44ms
  2026-09-25 16:44:06 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 2.19ms
  2026-09-25 16:44:07 .................................................................................... ~ 506.86ms
  2026-09-25 16:44:08 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 0.19ms
  2026-09-25 16:44:08 /css/sb-admin-2.min.css .............................................................. ~ 0.23ms
  2026-09-25 16:44:08 /css/style.css ....................................................................... ~ 1.52ms
  2026-09-25 16:44:08 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 2.84ms
  2026-09-25 16:44:08 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 3.92ms
  2026-09-25 16:44:08 /js/sweetalert.min.js ................................................................ ~ 3.73ms
  2026-09-25 16:44:08 /css/sweetalert.css .................................................................. ~ 0.19ms
  2026-09-25 16:44:08 /css/shared/shell-theme.css?v=1790185700 ............................................. ~ 0.22ms
  2026-09-25 16:44:08 /css/admin/admin-experience.css?v=1790186021 ......................................... ~ 1.30ms
  2026-09-25 16:44:08 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 2.37ms
  2026-09-25 16:44:08 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 3.52ms
  2026-09-25 16:44:08 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 2.28ms
  2026-09-25 16:44:08 /css/sb-admin-2.min.css .............................................................. ~ 2.34ms
  2026-09-25 16:44:08 /css/style.css ....................................................................... ~ 1.50ms
  2026-09-25 16:44:08 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 2.87ms
  2026-09-25 16:44:08 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 0.20ms
  2026-09-25 16:44:08 /user_icon.png ....................................................................... ~ 0.21ms
  2026-09-25 16:44:08 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 1.64ms
  2026-09-25 16:44:08 /vendor/jquery-easing/jquery.easing.min.js ........................................... ~ 0.22ms
  2026-09-25 16:44:08 /js/sb-admin-2.min.js ................................................................ ~ 1.32ms
  2026-09-25 16:44:08 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 2.60ms
  2026-09-25 16:44:08 /hp-logo.png ......................................................................... ~ 2.63ms
  2026-09-25 16:44:08 /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 ................................. ~ 0.18ms
  2026-09-25 16:44:08 /js/sweetalert.min.js ................................................................ ~ 0.91ms
  2026-09-25 16:44:08 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 2.15ms
  2026-09-25 16:44:08 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 3.13ms
  2026-09-25 16:44:08 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 3.94ms
  2026-09-25 16:44:08 /vendor/jquery-easing/jquery.easing.min.js ........................................... ~ 4.87ms
  2026-09-25 16:44:08 /js/sb-admin-2.min.js ................................................................ ~ 5.89ms
  2026-09-25 16:44:08 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 5.15ms
  2026-09-25 16:44:19 .................................................................................... ~ 500.61ms
  2026-09-25 16:44:20 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 0.20ms
  2026-09-25 16:44:20 /css/sb-admin-2.min.css .............................................................. ~ 0.25ms
  2026-09-25 16:44:20 /css/style.css ....................................................................... ~ 1.55ms
